id;name;credits;phone
1;Taka Persistent Human;overriding Direct;333.586.3390 x093
2;Kansas Checking;withdrawal Lebanon;1-205-434-8207
3;Shoes deposit Orchestrator;Concrete;1-903-708-7898 x47154
4;Sleek withdrawal Books;integrated Buckinghamshire;(400) 774-6764
5;Cape;Small Security Computer;468.597.4347 x7016
6;Cotton;partnerships generate;(696) 560-3440 x30582
7;instruction;Borders;553.210.7357
8;applications Metrics Specialist;pricing Central navigate;307.530.6709
9;Consultant copying Bike;Gorgeous leverage;(487) 393-4114
10;hardware deposit;hierarchy override;(315) 201-0575
